N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Invoice N°;Invoice amount;Payment date;Open invoices;Paid invoices;;;;;;;;;;;
2;;BIO CUCUMBER DUTCH 12PZS IFCO;KOPALMERIA;GHU;ALDI;THURSDAY UP ALMERIA;;€ 0,60;;PZS;€ 0,00; € -   ;KOP070-01/002376;1;2021.02.11;ALMERIA;GHU 150;DINAMO;NSF 386 / XZA 768;€ 3 000;2021.02.14;;;;;;;;;;;;;;;;
2;;BIO TOM. CHERRY PEAR 9X250GR;KOPALMERIA;GHU;ALDI;THURSDAY UP ALMERIA;;€ 0,89;;PZS;€ 0,00; € -   ;KOP070-01/002376;1;2021.02.11;ALMERIA;GHU 150;DINAMO;NSF 386 / XZA 768;€ 3 000;2021.02.14;;;;;;;;;;;;;;;;
;2;CAPSICUM CAL. RED STD;KOPALMERIA;GHU;GHUBU/GHUSZ;THURSDAY UP ALMERIA;;€ 0,65;;KG;€ 0,00; € -   ;KOP070-01/002377;1;2021.02.11;ALMERIA;GHU 150;DINAMO;NSF 386 / XZA 768;€ 3 000;2021.02.14;;;;;;;;;;;;;;;;
1;;CUCUMBER DUTCH STD 14/16PZS;KOPALMERIA;GHU;ALDI;THURSDAY UP ALMERIA;;€ 1,65;;KG;€ 0,00; € -   ;KOP070-01/002377;1;2021.02.11;ALMERIA;GHU 150;DINAMO;NSF 386 / XZA 768;€ 3 000;2021.02.14;;;;;;;;;;;;;;;;
;1;CUCUMBER DUTCH I 16PZS;KOPALMERIA;GHU;ALDI;THURSDAY UP ALMERIA;;€ 1,55;;KG;€ 0,00; € -   ;KOP070-01/002377;1;2021.02.11;ALMERIA;GHU 150;DINAMO;NSF 386 / XZA 768;€ 3 000;2021.02.14;;;;;;;;;;;;;;;;
1;;CUCUMBER DUTCH STD;KOPALMERIA;GHU;GHUBU;THURSDAY UP ALMERIA;;€ 0,75;;KG;€ 0,00; € -   ;KOP070-01/002377;1;2021.02.11;ALMERIA;GHU 150;DINAMO;NSF 386 / XZA 768;€ 3 000;2021.02.14;;;;;;;;;;;;;;;;
;1;TOMATO REBELLION G;DELGAFRUITS;GHU;GHUBU;THURSDAY UP ALMERIA;;€ 0,85;;KG;€ 0,00; € -   ;DEL008-002368;3;2021.02.11;ALMERIA;GHU 150;DINAMO;NSF 386 / XZA 768;€ 3 000;2021.02.14;;;;;;;;;;;;;;;;
;1;CAPSICUM CORNO WHITE STD;DELGAFRUITS;GHU;GHUSZ;THURSDAY UP ALMERIA;;€ 0,75;;KG;€ 0,00; € -   ;DEL008-002368;3;2021.02.11;ALMERIA;GHU 150;DINAMO;NSF 386 / XZA 768;€ 3 000;2021.02.14;;;;;;;;;;;;;;;;
;2;CAPSICUM PALERMO II;DELGAFRUITS;GHU;;THURSDAY UP ALMERIA;;€ 0,65;;KG;€ 0,00; € -   ;DEL008-002368;3;2021.02.11;ALMERIA;GHU 150;DINAMO;NSF 386 / XZA 768;€ 3 000;2021.02.14;;;;;;;;;;;;;;;;
6;;CELERY 6X500GR IFCO;AGESCO;GHU;ALDI;THURSDAY UP MURCIA;;€ 0,43;;PZS;€ 0,00; € -   ;AGE023-V/1070;2;2021.02.11;ALMERIA;GHU 150;DINAMO;NSF 386 / XZA 768;€ 3 000;2021.02.14;;;;;;;;;;;;;;;;
