N° Euro Palets;N° Normal Palets;Products;Reference;Customer;Destination;Comment;Gross weight (kg);Price (EUR);Price BCN (EUR);Unit;Reloading/plt;Transport BCN/plt;Albarán N°;Car n.;Loading date;Loading place;Order number;Transport company;Plate number;Transport price;Arrival date;Transport cost;Invoice amount;Payment date;Open invoices;Paid invoices;;;;;;;;;;;
-;2;SPAR SLO;CASAS ROYES;CASAS ROYES;SPAR SLO;MONDAY MORNING;;;;;€ 16,00; € 22,00 ;DG69;;2022.07.29;BARCELONA;LOG285;KÓNYA;SFB 844 / WGB 783;€ 2 700;2022.08.01;-€ 3 000;;;;;;;;;;;;;;;
3;;SPAR SLO ;AGESCO;AGESCO;SPAR SLO;MONDAY MORNING;;;;;€ 24,00; € 33,00 ;DG69;;2022.07.29;BARCELONA;LOG285;KÓNYA;SFB 844 / WGB 783;€ 2 700;2022.08.01;;;;;;;;;;;;;;;;
4;;SPAR SLO;GRUPO NATURAL;GRUPO NATURAL;SPAR SLO;MONDAY MORNING;;;;;€ 32,00; € 45,00 ;DG69;;2022.07.29;BARCELONA;LOG285;KÓNYA;SFB 844 / WGB 783;€ 2 700;2022.08.01;;;;;;;;;;;;;;;;
2;;SPAR CRO 137;KOPFSALAT;KOPFSALAT;SPAR CRO 137;MONDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2022.07.29;BARCELONA;LOG285;KÓNYA;SFB 844 / WGB 783;€ 2 700;2022.08.01;;;;;;;;;;;;;;;;
4;;SPAR CRO ;CASAS ROYES;CASAS ROYES;SPAR CRO ;MONDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2022.07.29;BARCELONA;LOG285;KÓNYA;SFB 844 / WGB 783;€ 2 700;2022.08.01;;;;;;;;;;;;;;;;
3;;SPAR CRO;AGESCO;AGESCO;SPAR CRO;MONDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2022.07.29;BARCELONA;LOG285;KÓNYA;SFB 844 / WGB 783;€ 2 700;2022.08.01;;;;;;;;;;;;;;;;
11;;SPAR CRO;GRUPO NATURAL;GRUPO NATURAL;SPAR CRO;MONDAY MORNING ;;;;;€ 0,00; € -   ;SPAR;;2022.07.29;BARCELONA;LOG285;KÓNYA;SFB 844 / WGB 783;€ 2 700;2022.08.01;;;;;;;;;;;;;;;;
1;;SPAR HU BICSKE V/ 2926;AGESCO;AGESCO;SPAR HU BICSKE V/ 2926 ;MONDAY NIGHT;;;;;;;;;2022.07.29;BARCELONA;LOG285;KÓNYA;SFB 844 / WGB 783;€ 2 700;2022.08.01;;;;;;;;;;;;;;;;
1;;SPAR HU ÜLLŐ V/ 2927;AGESCO;AGESCO;SPAR HU ÜLLŐ V/ 2927;MONDAY NIGHT;;;;;;;;;2022.07.29;BARCELONA;LOG285;KÓNYA;SFB 844 / WGB 783;€ 2 700;2022.08.01;;;;;;;;;;;;;;;;
1;;SPAR HU BICSKE V/ 2928;AGESCO;AGESCO;SPAR HU BICSKE V/ 2928;MONDAY NIGHT;;;;;;;;;2022.07.29;BARCELONA;LOG285;KÓNYA;SFB 844 / WGB 783;€ 2 700;2022.08.01;;;;;;;;;;;;;;;;
;18;LEMON ;LA CALIFORNIA;GHU;ALDI/GHUBU/GHUSZ;;;€ 0,95;;KG;€ 0,00; € -   ;CAL012-VSP/78/2022;;2022.07.29;NAPOLI;H234;BVT;NZJ 915 / WAV 175;€ 2 000;2022.07.31;-€ 2 000;;;;;;;;;;;;;;;
;1;SPAR SLO;CASAS ROYES;CASAS ROYES;SPAR SLO;WEDNESSDAY MORNING;;;;;€ 58,00; € 60,00 ;DG69;;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;-€ 3 000;;;;;;;;;;;;;;;
1;;SPAR CRO 138;KOPFSALAT;KOPFSALAT;SPAR CRO 138;WEDNESDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
4;;SPAR CRO;CASAS ROYES;CASAS ROYES;SPAR CRO;WEDNESDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
4;;SPAR CRO;AGESCO;AGESCO;SPAR CRO;WEDNESDAY MORNING;;;;;€ 0,00; € -   ;SPAR;;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
1;;SPAR HU BICSKE V/ 2939 ;AGESCO;AGESCO;SPAR HU BICSKE V/ 2939;WEDNESDAY NIGHT;;;;;;;;;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
2;;SPAR HU ÜLLŐ V/ 2938;AGESCO;AGESCO;SPAR HU ÜLLŐ V/ 2938;WEDNESDAY NIGHT;;;;;;;;;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
3;;SPAR HU BICSKE V/ 2940;AGESCO;AGESCO;SPAR HU BICSKE V/ 2940;WEDNESDAY NIGHT;;;;;;;;;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
3;;SPAR HU ÜLLŐ V/ 2941;AGESCO;AGESCO;SPAR HU ÜLLŐ V/ 2941;WEDNESDAY NIGHT;;;;;;;;;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
1;;SPAR HU BICSKE;CASAS ROYES;CASAS ROYES;SPAR HU BICSKE;WEDNESDAY NIGHT;;;;;;;;;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
2;;SPAR HU ÜLLŐ;CASAS ROYES;CASAS ROYES;SPAR HU ÜLLŐ ;WEDNESDAY NIGHT;;;;;;;;;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
3;;NECTARIN 10*1KG;FRUBALMED;GHU;ALDI;SATURDAY UP LERIDA; PREMIUM ;;€ 0,90;KG;€ 0,00; € -   ;FRU323-122/AL22;1;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
;1;NECTARIN STD;FRUBALMED;GHU;GHUBU/GHUSZ;SATURDAY UP LERIDA; CASAS ;;€ 0,60;KG;€ 10,00; € -   ;FRU323-122/AL22;1;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
1;;LEMON 10*400GR;HISPA;GHU;SPAR HU;MONDAY UP BARCELONA;;;€ 0,57;PZS;€ 10,00; € -   ;HIS149-038/012201796;2;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
1;;RASPBERRY 12*125GR;FRESSAN;GHU;ALDI;MONDAY UP BARCELONA;;;€ 7,25;KG;€ 10,00; € -   ;FRE078-CMR-;3;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
;1;NECTARIN YELLOW LOOSE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
2;;BLUEBERRY 12*125GR;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
;1;APRICOT LOOSE;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
;;CAPSICUM PADRON 4#;KOPFSALAT;GHU;;;;;;;;;;;2022.07.30;LERIDA/BARCELONA;GHU 308;SERGIO;SB 16 HRM / SB 02 HRM;€ 2 800;2022.08.03;;;;;;;;;;;;;;;;
6;;PARAGUAYO 5KG;FRUBALMED;GHU;ALDI;WEDNESDAY UP BARCELONA; CASAS ;;€ 1,10;KG;€ 10,00; € -   ;FRU324-122/AL22;1;2022.08.03;BARCELONA;GHU 309;KÓNYA;SFB 843 / WDA 625;€ 2 700;2022.08.05;-€ 2 900;;;;;;;;;;;;;;;
2;; PEACH 10*1KG;FRUBALMED;GHU;ALDI;WEDNESDAY UP BARCELONA; CASAS ;;€ 0,80;KG;€ 10,00; € -   ;FRU324-122/AL22;1;2022.08.03;BARCELONA;GHU 309;KÓNYA;SFB 843 / WDA 625;€ 2 700;2022.08.05;;;;;;;;;;;;;;;;
;1;PEACH STD;FRUBALMED;GHU;GHUBU/GHUSZ;WEDNESDAY UP BARCELONA; CASAS ;;€ 0,60;KG;€ 10,00; € -   ;FRU324-122/AL22;1;2022.08.03;BARCELONA;GHU 309;KÓNYA;SFB 843 / WDA 625;€ 2 700;2022.08.05;;;;;;;;;;;;;;;;
;1;PARAGUAYO STD;FRUBALMED;GHU;GHUBU/GHUSZ;WEDNESDAY UP BARCELONA; CASAS ;;€ 0,60;KG;€ 10,00; € -   ;FRU324-122/AL22;1;2022.08.03;BARCELONA;GHU 309;KÓNYA;SFB 843 / WDA 625;€ 2 700;2022.08.05;;;;;;;;;;;;;;;;
6;;NECTARIN 10*1KG;FRUBALMED;GHU;ALDI;WEDNESDAY UP BARCELONA; PREMIUM ;;€ 0,90;KG;€ 10,00; € -   ;FRU324-123/AL22;1;2022.08.03;BARCELONA;GHU 309;KÓNYA;SFB 843 / WDA 625;€ 2 700;2022.08.05;;;;;;;;;;;;;;;;
;1;NECTARIN STD;FRUBALMED;GHU;GHUBU/GHUSZ;WEDNESDAY UP BARCELONA; CASAS ;;€ 0,60;KG;€ 10,00; € -   ;FRU324-127/AL22;1;2022.08.03;BARCELONA;GHU 309;KÓNYA;SFB 843 / WDA 625;€ 2 700;2022.08.05;;;;;;;;;;;;;;;;
1;;RASPBERRY 12*125GR;FRESSAN;GHU;ALDI;WEDNESDAY UP BARCELONA;;;€ 7,25;KG;€ 10,00; € -   ;FRE079-CMR-033665;2;2022.08.03;BARCELONA;GHU 309;KÓNYA;SFB 843 / WDA 625;€ 2 700;2022.08.05;;;;;;;;;;;;;;;;
1;;BLUBERRY 12*125GR;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.08.03;BARCELONA;GHU 309;KÓNYA;SFB 843 / WDA 625;€ 2 700;2022.08.05;;;;;;;;;;;;;;;;
;1;APRICOT STD;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.08.03;BARCELONA;GHU 309;KÓNYA;SFB 843 / WDA 625;€ 2 700;2022.08.05;;;;;;;;;;;;;;;;
;1;PARAGUAYO ;KOPFSALAT;GHU;ALDI;;;;;;;;;;2022.08.03;BARCELONA;GHU 309;KÓNYA;SFB 843 / WDA 625;€ 2 700;2022.08.05;;;;;;;;;;;;;;;;
-;1;SPAR SLO;CASAS ROYES;CASAS ROYES;SPAR SLO;FRIDAY MORNING;;;;;€ 8,00; € 20,00 ;DG69;;2022.08.03;BARCELONA;LOG286;KÓNYA;TBT 656 / WEW 302;€ 2 700;2022.08.05;-€ 3 000;;;;;;;;;;;;;;;
4;;SPAR SLO;GRUPO NATURAL;GRUPO NATURAL;SPAR SLO;FRIDAY MORNING;;;;;€ 32,00; € 80,00 ;DG69;;2022.08.03;BARCELONA;LOG286;KÓNYA;TBT 656 / WEW 302;€ 2 700;2022.08.05;;;;;;;;;;;;;;;;
